Greta Timlin,Indonesia,Nunleu,
Salmon Rushmare,France,Niort,Poitou-Charentes
Linnell Lytle,China,Haoxin,
Prissie De Andreis,Russia,Belyye Berega,
Barnett Lippiello,China,Dongping,
Carrie Melross,Zimbabwe,Shamva,
Crin Story,Philippines,Cogtong,
Delainey Redmond,Colombia,Belén de Umbría,
Pete Hutsby,Armenia,Ptghunk’,
Murray Mabee,Pakistan,Kambar,
Hattie Alcido,Portugal,Alqueidão,Santarém
Fenelia Cheng,United States,Fort Pierce,Florida
Aurelie Douce,Yemen,Al Bilād,
Allen Lowes,Indonesia,Paleran,
Langston McQuirk,Greece,Lidoríki,
Starlin Clilverd,Armenia,Aghavnadzor,
Loretta Thying,Argentina,Azul,
Dulcia Oakley,China,Ma’an,
Elmira Glenton,Indonesia,Nangger,
Kennie Heatlie,Nigeria,Ogoja,
Peri Mathen,Japan,Murakami,
Kariotta Benham,France,Avranches,Basse-Normandie
Ted Ivashkin,Bangladesh,Jhingergācha,
Serena Chisnall,Indonesia,Delanggu,
Gianna Shutler,China,Huangbayi,
Paulo Covet,China,Jianggang,
Karoline Tetther,China,Jishigang,
Carmita McKain,Canada,Longueuil,Québec
Wilton Muris,China,Zhongmen,
Titos Wands,Pakistan,Mehrābpur,
Marcia Parffrey,Brazil,Várzea da Palma,
Rodrigo Gilliland,Indonesia,Bungur,
Willi Gallear,Sweden,Svenljunga,Västra Götaland
Virgil Kindred,Solomon Islands,Tulaghi,
Langston Testro,Russia,Romanovo,
Willyt Elleyne,Ukraine,Reni,
Carleton Covill,China,Lucheng,
Gerome Hutcheson,Ukraine,Bile,
Robbin Cowden,Russia,Kochevo,
Hillary Trevena,Ivory Coast,Boundiali,
Lock Roscher,China,Majiao,
Margit Polotti,Russia,Gostilitsy,
Abie Pinnijar,Poland,Babice,
Frederik Winskill,Indonesia,Sakerta Timur,
Son Clever,Argentina,Rawson,
Edyth Davidovic,Japan,Kawaguchi,
Corabelle Dagnall,Cuba,Batabanó,
Georgianna Normanvill,Russia,Ust’-Katav,
Ruthie Tink,Indonesia,Bogi,
Dominica Widdall,China,Luqiao,
Rory Forestel,Indonesia,Tegallega,
Les Layne,Indonesia,Batutua,
Ashil Oliva,Philippines,Pawa,
Lanie Ropcke,North Korea,Musan-ŭp,
Reid Capun,Indonesia,Sukacai,
Judy Belle,Nepal,Dhankutā,
Elston Lightman,Iran,Rehnān,
Patin Raynard,Thailand,Wang Sam Mo,
Jeniece Farnan,Portugal,Nogueira do Cravo,Coimbra
Janith Kreutzer,China,Dayong,
Shelba Andriveau,China,Yunxi,
Rikki Ponde,Sweden,Hultsfred,Kalmar
Ashton De Francesco,Indonesia,Semanding,
Dalt Mallan,Brazil,Amargosa,
Taffy Tapper,China,Lijiaping,
Barclay Dibben,Greece,Ágios Andréas,
Sherline Drees,Nepal,Mahendranagar,
Korey Defty,China,Jiubao,
Thalia Cady,Slovenia,Kočevje,
Cassandra Amys,France,Mundolsheim,Alsace
Theressa Pettiward,France,Toulouse,Midi-Pyrénées
Buddy Seely,Brazil,Prata,
Agnese Cakebread,Czech Republic,Poříčí nad Sázavou,
Addison Tether,Sweden,Västra Frölunda,Västra Götaland
Kathi Suttling,Estonia,Pärnu-Jaagupi,
Sissie MacGorman,Palestinian Territory,Al Lubban al Gharbī,
Dar Bartosch,France,Plaisir,Île-de-France
Tanitansy Allcott,Brazil,Bauru,
El Peebles,Russia,Navashino,
Natalee Iscowitz,Indonesia,Baru,
Ingra Carneck,Indonesia,Peseng,
Gabrielle de Keyser,Indonesia,Panjerrejo,
Denys Abrahams,Russia,Koksovyy,
Marijn Goacher,China,Oljoq,
Enriqueta Capsey,China,Anshun,
Esmeralda Thornley,Czech Republic,Líbeznice,
Ivonne Sallarie,Sweden,Kungsör,Västmanland
Kathryne Haxell,Russia,Kimovsk,
Gian Haldane,Czech Republic,Bavorov,
Zorine Orrocks,China,Huping,
Ezra Leuty,Malaysia,Kota Kinabalu,Sabah
Demetri Ker,Ireland,Foxrock,
Danette Haile,China,Nanlang,
Ethelred Insoll,Ireland,Ballyjamesduff,
Barrie Sweeney,Portugal,Agualva,Ilha Terceira
Lindi Jacobsohn,China,Weibin,
Deeann Kimbly,China,Yijiang,
Celestyn Prettyman,Argentina,Deán Funes,
Olivero Mayward,Cuba,Jatibonico,
Stephanie Lambard,Peru,Tunal,
Lindsay Macak,Poland,Kolbuszowa,
Alfy Oldland,Greece,Skoútari,
Barton Hollingdale,Indonesia,Dangbigih,
Pearline Zum Felde,China,Shetangpo,
Rolf Cowburn,Greece,Foúrnoi,
Hercule Liddyard,Cuba,Trinidad,
Tibold Fernehough,China,Donglai,
Demetre Brandon,Indonesia,Banakaja,
Upton Wieprecht,Czech Republic,Rokycany,
Ted Tufts,France,Lille,Nord-Pas-de-Calais
Murdoch Rochewell,Cuba,Banes,
Othelia Buckett,Netherlands,Haarlem,Provincie Noord-Holland
Laurella Abden,China,Jieshui,
Quentin Douty,Indonesia,Awarawar,
Mariellen Warry,Colombia,Urrao,
Rriocard Lammin,Martinique,Le Lamentin,Martinique
Jeramey Plank,Sweden,Lycksele,Västerbotten
Dulciana Colclough,Czech Republic,Staré Město,
Eartha Applebee,Sweden,Tyresö,Stockholm
Luise Kelston,Indonesia,Padaan,
Judi Wykey,Brazil,Várzea Grande,
Giuditta Thomazet,Japan,Seto,
Kimberli Issakov,China,Changchi,
Winnie Izkoveski,China,Xiantang,
Ashlin Brokenshaw,Argentina,Esquina,
Gaylord Garnam,Portugal,Pisões,Santarém
Alfreda Bilbey,Indonesia,Sarirejo Satu,
Rozanne Antosik,Portugal,Cercal,Santarém
Fidole Pashe,Peru,Capacmarca,
Geno Chazette,Philippines,Jovellar,
Katine Grevel,Indonesia,Krajan Jabungcandi,
Mike Gives,China,Luxi,
Joceline Lackie,Afghanistan,Mīrābād,
Dino Kuscha,Sweden,Stockholm,Stockholm
Fabian Furman,Czech Republic,Teplice,
Renard Bagge,Colombia,Melgar,
Mac Grenfell,Brazil,Rio Negrinho,
Alaric Degoix,Guatemala,Morazán,
Valina Keary,France,Bezons,Île-de-France
Jolie Cook,Russia,Gostagayevskaya,
Florance Walaron,China,Tacheng,
Isobel Wiffill,Philippines,Saguiaran,
Delilah Abrahart,Indonesia,Bonak,
Ted Woolf,United States,Charlotte,North Carolina
Carce Sygrove,Brazil,Guararapes,
Cull Handscombe,Czech Republic,Rokytnice,
Moyna Barrar,Niger,Maradi,
Doralyn Awmack,China,Golug,
Melissa Hasty,Portugal,Criação Velha,Ilha do Pico
Wylma Tuffs,United States,Springfield,Missouri
Heath Poate,Philippines,Calauan,
Abby Corkan,South Africa,Springbok,
Marrilee Kaubisch,Iran,Behbahān,
Valentino Rye,China,Ji’an,
Ethan McSaul,Belarus,Chavusy,
Zola Warrilow,Japan,Kamimaruko,
Kristian Western,New Caledonia,Yaté-Barrage,
Livvie Vardy,China,Jiucheng,
Martainn Flintoffe,Finland,Muurla,
Ragnar Larchiere,Peru,Mollebamba,
Paige Thorouggood,Portugal,Venda do Valador,Lisboa
Katleen Boshell,China,Tuojiang,
Broderick Pavese,United States,Seattle,Washington
Angel Calbaithe,Russia,Ilovka,
Chloris Scarce,Cuba,Santa Clara,
Lynde Been,China,Hongqi,
Haley Schruyers,China,Nanjie,
April Renton,Croatia,Rezovac,
Audrye Acory,Czech Republic,Hřebeč,
Aldon Nation,Portugal,Gaio,Setúbal
Elyn Figiovanni,Philippines,Bagacay,
Charline Pinel,China,Loujiadian,
Loraine Gaskin,Sweden,Göteborg,Västra Götaland
Shaun Damato,China,Maoping,
Zebulon Jeanet,Serbia,Biljača,
Clarke Gaitskell,Sweden,Hägersten,Stockholm
Kimball Colbertson,Cuba,Santo Domingo,
Collin Headan,Ukraine,Zhovkva,
Mag Birckmann,Russia,Pravda,
Gayla Coldman,Canada,Lévis,Québec
Hebert Vatini,China,Baidian,
Sybille Sawden,France,Kingersheim,Alsace
Lynnelle Jacqueminot,China,Baizhang,
Jany Gaffney,Sri Lanka,Ampara,
Yalonda Haugg,China,Dezhou,
Alessandra Scourfield,Serbia,Koceljeva,
Eirena Elliman,Malta,Imsida,
Merline Toms,Mozambique,Inhambane,
Ellswerth Chimenti,China,Gabasumdo,
Genevieve Joules,Brazil,Itaberaba,
Julia McKew,China,Duowa,
Jolee Lorrie,Sweden,Emmaboda,Kalmar
Hadrian Cordier,Japan,Kagoshima-shi,
Danny Dorre,Russia,Vygonichi,
Britt Jewis,Thailand,Ban Mai,
Lynne Sein,Norway,Oslo,Oslo
Bobine Vreede,Tunisia,Jendouba,
Lynne Burberye,Vietnam,K Bang,
Thatcher Iffe,Portugal,Fonte do Feto,Setúbal
Tadeas Womack,Portugal,Peso da Régua,Vila Real
Dulci Waddie,Iceland,Neskaupstaður,
Yule Cowing,France,Paris 12,Île-de-France
Theresa Levis,Greece,Lianovérgi,
Rahal Caroli,Portugal,Soutocico,Leiria
Alisa Flecknell,Macedonia,Selce,
Dexter Thexton,Indonesia,Talun,
Lucie Lilion,France,Toulouse,Midi-Pyrénées
Euell Naul,Greece,Antimácheia,
Gregoor Laing,Indonesia,Tenggina Daya,
Alisander Appleyard,Israel,‘Uzeir,
Karyl Yirrell,Comoros,Itsandra,
Cristina Jellico,China,Pu’er,
Heriberto Filmer,China,Mintang,
Abeu Fewtrell,United States,Santa Barbara,California
Krystal Pendrill,Poland,Jasienica Rosielna,
Guendolen Carnow,Canada,North York,Ontario
Prince Swiggs,United States,Whittier,California
Pip Serot,Colombia,Anolaima,
